classification,pnl_std_dev,pnl_mean,days,sharpe_like_ratio
Extreme Fear,74.22235923842523,38.433903439293466,14,0.517821096414247
Extreme Greed,117.42374391112192,56.7361082796809,114,0.48317407016611974
Fear,129.54784656082046,31.27656675284989,91,0.2414286889606157
Greed,136.17013998856626,39.412175424226334,193,0.28943331796189414
Neutral,225.33639219604953,63.82069932307448,67,0.2832241108553319
