classification,avg_trade_size,median_trade_size,max_trade_size
Extreme Fear,4091.8043663217154,4236.1275097481175,9405.505196182396
Extreme Greed,4410.524481610627,3418.981709770115,19021.28
Fear,6524.2949367587935,4186.965333333334,26512.38382645804
Greed,6735.295812914844,5304.975,28583.181428571428
Neutral,7157.527121411409,6000.242,34988.58
