date,classification,trade_count,win_rate,avg_closed_pnl,avg_size
2023-05-01,Greed,3,0.0,0.0,159.0
2023-12-05,Extreme Greed,9,0.0,0.0,5556.203333333334
2023-12-14,Greed,11,0.36363636363636365,-18.675885181818188,10291.213636363636
2023-12-15,Greed,2,0.0,-12.316016999999999,5304.975
2023-12-16,Greed,3,0.0,0.0,5116.256666666667
2023-12-17,Greed,14,0.5,21.78448464285714,8305.572857142857
2023-12-18,Greed,2,0.0,0.0,15582.089999999998
2023-12-19,Greed,15,0.6666666666666666,66.70257413333334,6106.827333333334
2023-12-20,Greed,18,0.4444444444444444,9.040682333333333,7868.710555555556
2023-12-21,Greed,49,0.5306122448979592,10.963498000000001,2555.795306122449
2023-12-22,Greed,10,0.2,14.1832675,8887.428
2023-12-23,Greed,13,0.6153846153846154,11.302823384615383,6033.711538461538
2023-12-24,Greed,39,0.38461538461538464,25.862050153846155,10332.177948717948
2023-12-25,Greed,3,0.0,-81.69378266666666,19982.836666666666
2023-12-27,Greed,28,0.14285714285714285,-25.174615249999995,6121.823571428571
2023-12-28,Greed,23,0.0,-42.20569026086957,4352.923913043478
2023-12-29,Greed,50,0.3,10.178442859999999,11391.1944
2023-12-30,Greed,52,0.4423076923076923,6.826897076923077,13510.58096153846
2024-01-01,Greed,18,0.05555555555555555,-7.196192222222223,14679.973888888888
2024-01-02,Greed,17,0.47058823529411764,46.11641858823529,7138.1611764705885
2024-01-03,Greed,67,0.417910447761194,12.925604582089552,5888.050149253731
2024-01-04,Greed,5,0.0,-13.520728,19958.508
2024-01-05,Greed,66,0.19696969696969696,2.486993409090909,25817.31303030303
2024-01-06,Greed,22,0.45454545454545453,6.16280290909091,13569.154545454547
2024-01-07,Greed,97,0.09278350515463918,-8.615270463917525,10812.887216494846
2024-01-08,Greed,128,0.25,-2.1083940546875,11894.159609375
2024-01-09,Extreme Greed,70,0.2571428571428571,-11.804998042857143,12429.313857142857
2024-01-10,Greed,193,0.21243523316062177,-7.860576901554404,10660.515440414507
2024-01-11,Extreme Greed,21,0.23809523809523808,-7.813785761904761,14538.766666666666
2024-01-12,Greed,7,0.0,-275.0741462857143,28583.181428571428
2024-01-15,Neutral,14,0.6428571428571429,10.918112857142857,3616.8642857142854
2024-01-16,Greed,9,0.3333333333333333,-255.4634953333333,12936.37
2024-01-17,Greed,53,0.20754716981132076,15.344794547169812,15110.019433962265
2024-01-18,Greed,46,0.06521739130434782,1.4985476086956522,9231.120217391304
2024-01-19,Neutral,48,0.125,-8.029567395833334,8925.603541666665
2024-01-20,Neutral,106,0.14150943396226415,-1.3827817924528305,10095.193490566038
2024-01-21,Greed,11,0.2727272727272727,24.234649636363642,9375.43090909091
2024-01-22,Greed,85,0.27058823529411763,16.18401128235294,3975.0469411764707
2024-01-23,Neutral,45,0.24444444444444444,-8.20543844444444,9211.531777777778
2024-01-24,Neutral,68,0.14705882352941177,-41.29932080882353,14192.42044117647
2024-01-25,Neutral,6,0.0,-515.6048975,11094.355000000001
2024-01-26,Neutral,5,0.2,18.04,2354.642
2024-01-28,Neutral,11,0.0,-225.27906545454545,1646.2754545454545
2024-01-29,Greed,74,0.6081081081081081,6.5751694864864865,5597.407837837838
2024-01-30,Greed,49,0.10204081632653061,-3.5439630816326537,8183.905714285715
2024-01-31,Greed,859,0.2689173457508731,-0.93113017112922,7340.683504074505
2024-02-01,Greed,6,0.0,0.0,334.69666666666666
2024-02-02,Greed,42,0.30952380952380953,10.867225547619048,11292.343571428572
2024-02-03,Greed,56,0.10714285714285714,3.9876640535714283,10782.5
2024-02-04,Greed,35,0.2571428571428571,1.360682714285714,5805.358
2024-02-05,Greed,72,0.19444444444444445,-0.4646415833333337,10697.198055555556
2024-02-06,Greed,1088,0.1645220588235294,-0.19817638511029412,7396.280707720588
2024-02-07,Greed,15,0.13333333333333333,16.082808,450.582
2024-02-08,Greed,10,0.4,77.07560240000001,2605.112
2024-02-11,Greed,34,0.20588235294117646,28.924799294117648,6244.465294117647
2024-02-12,Greed,16,0.375,57.11761168749999,14202.981249999999
2024-02-13,Extreme Greed,14,1.0,39.960277857142856,142.85642857142858
2024-02-14,Greed,111,0.7477477477477478,34.509908405405405,2890.4493693693694
2024-02-15,Greed,63,0.9047619047619048,29.219010746031746,2939.4926984126987
2024-02-16,Greed,182,0.8021978021978022,30.174554032967034,3103.826978021978
2024-02-17,Extreme Greed,94,0.648936170212766,20.52810425531915,4320.405
2024-02-18,Greed,97,0.6288659793814433,4.923967319587628,1619.0532989690723
2024-02-19,Extreme Greed,101,0.7623762376237624,42.750183792079206,2835.417821782178
2024-02-20,Greed,39,0.7948717948717948,83.68279035897436,3062.0441025641026
2024-02-21,Extreme Greed,22,0.6818181818181818,84.49084409090909,4911.250909090909
2024-02-22,Greed,88,0.45454545454545453,44.25119397727272,4239.02125
2024-02-23,Extreme Greed,143,0.958041958041958,9.91995055944056,776.966013986014
2024-02-25,Greed,5,0.0,-6.1541,896.0260000000001
2024-02-26,Greed,39,0.8717948717948718,113.25249487179488,4927.875384615385
2024-02-27,Extreme Greed,63,0.4126984126984127,14.103360841269842,3323.2111111111108
2024-02-28,Extreme Greed,45,0.8666666666666667,55.63882744444444,3802.380666666667
2024-02-29,Extreme Greed,116,0.8620689655172413,84.60342234482759,3410.9200862068965
2024-03-01,Extreme Greed,137,0.9343065693430657,60.176944591240876,3452.370072992701
2024-03-02,Extreme Greed,31,0.6774193548387096,7.448406451612905,2038.6309677419354
2024-03-03,Extreme Greed,79,0.6835443037974683,105.83653474683545,4946.1478481012655
2024-03-04,Extreme Greed,300,0.8866666666666667,92.66591914,5259.989566666667
2024-03-05,Extreme Greed,180,0.9055555555555556,109.95014467222222,4676.724
2024-03-06,Extreme Greed,82,0.8780487804878049,83.10762364634145,3990.4636585365856
2024-03-08,Extreme Greed,67,0.8805970149253731,63.7594960597015,2740.047462686567
2024-03-09,Extreme Greed,117,0.8290598290598291,85.03847541880343,5625.459401709401
2024-03-10,Extreme Greed,42,0.6904761904761905,59.117314285714286,5237.472619047619
2024-03-11,Extreme Greed,42,0.9285714285714286,85.43284511904761,4202.844047619047
